repo,days_since_last_commit,bus_factor,issue_closure_rate_pct,pr_merge_rate_pct,commits_90d,contributors_sampled,has_ci,has_tests,archived,latest_release_age_days,latest_release_at,label
AbhisekDas2005/Leetcode-Problems-DSA,0,1,0,0,100,1,0,0,0,,,
Abrechen2/sublarr,0,1,71.4,68.4,100,6,1,1,0,8,2026-08-28T05:37:26Z,
AbuZar-Ansarii/PocketStrike-AI,0,1,25.0,0,100,2,0,0,0,,,
Accio-Lab/Dressage,8,1,75.0,93.3,85,10,1,1,0,,,
AceDataCloud/Skills,0,1,97.8,40.4,100,4,1,1,0,0,2026-09-05T08:45:21Z,
AceDataCloud/SunoMCP,0,1,100.0,90.5,32,4,1,1,0,0,2026-09-05T12:23:34Z,
Acooldog/QQKWKG-TriMusicDecrypt,8,1,50.0,100.0,4,2,1,0,0,150,2026-04-07T14:27:40Z,
AdamPlatin123/dsh-plugin-radar,0,3,0,100.0,100,100,1,0,0,,,
AdamekPW/Quadruped-robot,0,1,0,0,20,1,0,1,0,,,
AddOneSecondL/Overstats,1,1,33.3,50.0,16,4,0,0,0,,,
Advnirr/lufux,0,1,0,0,2,1,0,0,0,91,2026-06-05T17:51:23Z,
AgamiAI/agami-core,0,1,18.8,89.9,100,3,1,1,0,0,2026-09-05T07:17:14Z,
Ageeel/multaqa,0,1,0,0,15,1,1,0,0,,,
AgentDebugX/AgentDebugX,0,2,0,100.0,100,5,1,1,0,,,
AgentFlocks/flocks,19,2,0,87.6,100,22,1,1,0,19,2026-08-17T08:16:11Z,
Agents365-ai/video-podcast-maker,0,1,100.0,92.3,95,2,1,1,0,35,2026-08-01T05:16:23Z,
Agents365-ai/zotero-cli-ai,3,1,100.0,91.0,78,4,1,1,0,17,2026-08-19T01:40:41Z,
AgriciDaniel/banana-claude,6,1,0,20.0,4,1,1,1,0,6,2026-08-30T01:32:12Z,
AgriciDaniel/claude-blog,10,1,90.0,8.7,47,2,1,1,0,10,2026-08-25T22:59:48Z,
AgriciDaniel/you2betoblog,0,1,0,0,7,1,0,1,0,,,
AhmadHassan-BTed/AhmadHassan-BTed,0,1,0,0,100,2,1,0,0,,,
AidALL/ghost-alice,0,1,75.0,100.0,39,1,1,1,0,19,2026-08-17T10:34:44Z,
AidanKR/kakao-auto,2,1,0,0,47,2,1,0,0,2,2026-09-03T11:56:30Z,
Aiyo28/memento-os,0,1,0,0,2,1,1,1,0,105,2026-05-23T07:18:07Z,
Ajay150313/agentsre,2,1,0,100.0,9,1,1,1,0,104,2026-05-23T22:12:03Z,
Akashs1030/-Generative-AI-Nutritionist-Using-Google-Gemini-Pro-Vision-Large-Image-Models,0,1,0,0,6,1,0,0,0,,,
Akunimal/noah-nvidia,0,1,0,0,13,1,1,1,0,,,
Alan-LJ/HealthDesk_Agent,0,1,0,0,33,2,1,1,0,,,
AlayaLab/Evoke,1,1,100.0,0,24,2,0,1,0,,,
Alban1911/Rose,5,1,86.2,57.9,74,14,0,1,0,39,2026-07-27T23:26:34Z,
Alchemist-Jo/textbook-anything,0,1,0,0,5,1,1,1,0,0,2026-09-05T10:09:38Z,
AlekseiUL/hermes-researcher-agent,0,1,0,100.0,7,2,1,1,0,1,2026-09-04T10:11:26Z,
Aletheore/Aletheore,0,1,0,91.7,100,2,1,1,0,3,2026-09-02T01:47:46Z,
Alex-Kopylov/zweihander,0,1,12.5,98.3,100,3,1,1,0,98,2026-05-30T09:44:01Z,
Alex19011901/lead-control-pages,0,1,0,0,100,3,1,1,0,,,
AlexanderMattTurner/agent-glovebox,0,1,29.4,95.0,100,25,1,1,0,0,2026-09-05T12:19:50Z,
Alexcomplementary40/ELF-pytorch,0,1,0,0,1,2,0,0,0,,,
Algorineko/AgenticArXiv-RL,0,2,80.0,96.6,100,30,0,1,0,,,
AliceJump/ok-end-field,0,1,50.0,92.9,100,19,1,1,0,0,2026-09-04T19:28:51Z,
Alirewa/V2ray-Configs,0,1,0,0,100,2,1,0,0,,,
Alisa0808/vox-director,24,1,100.0,85.7,29,2,0,0,0,,,
AllenXiao95/Game-Localizer,0,1,41.7,100.0,100,1,1,1,0,12,2026-08-24T06:27:36Z,
Allenxinn/AgentVLN,5,1,0,0,18,2,0,0,0,,,
Alos21750/UAV-Downloader,0,1,95.5,0,100,5,1,1,0,4,2026-09-01T03:56:30Z,
Alpha-Dojo/DojoAgents,4,2,75.0,97.0,100,11,0,1,0,,,
AlphaGBM/skills,58,1,0,100.0,1,3,0,0,0,,,
AlterLab-IEU/AlterLab-Academic-Skills,0,1,100.0,100.0,51,3,1,1,0,64,2026-07-02T17:55:58Z,
AlysisAi/alysis-code,0,1,0,80.0,31,3,1,1,0,0,2026-09-05T08:36:29Z,
AmanCode22/deeperseeker,0,1,83.3,25.0,82,2,0,0,0,6,2026-08-29T19:38:46Z,
American-Embedded/kistack,0,1,0,100.0,23,3,0,0,0,,,
AminBlg/SimpleEnglish,0,1,91.7,81.2,77,14,0,1,0,3,2026-09-01T13:44:49Z,
AmmarSlibi2013/elysian-fitall-eve-online-evejs-saved-fittings,0,1,0,0,1,2,0,0,0,,,
Amruthavalli30/ai-code-reviewer,0,1,0,0,4,1,0,0,0,,,
Anantjain-infinite/Bazaar-Mitra,0,1,0,0,6,1,1,1,0,,,
AnastasiyaW/codex-claude-code-config,0,1,100.0,93.3,100,3,1,1,0,,,
AnastasiyaW/knowledge-space,0,1,0,100.0,100,3,1,1,0,,,
AndyShiue/learning-rust-from-zero,0,1,100.0,100.0,100,2,1,0,0,,,
Anemll/dspark-vllm-gx10,1,1,0,100.0,14,2,1,0,0,51,2026-07-15T17:11:14Z,
Anime0t4ku/mister-companion,0,1,98.9,50.0,100,6,1,0,0,0,2026-09-04T21:43:33Z,
Anionex/agent-vision-toolkit,9,1,66.7,81.8,100,7,1,1,0,21,2026-08-14T15:04:00Z,
Anning01/novelvids,3,1,100.0,100.0,100,2,0,1,0,,,
Anttwo/Surflo,10,1,0,0,7,1,0,1,0,,,
